#,id,date_time,open,close,low,high,volume,pair_id
193,10363039,2016-02-09 07:00:00.000000,373.21999972,376.71518383,369.65451242,380.49,20723.32240604,83
194,10363040,2016-02-10 07:00:00.000000,376.98829552,382.97999999,364.1000001,385,37846.45175219,83
195,10363041,2016-02-11 07:00:00.000000,382.98,387.95,371.00000001,388.254,21454.516881,83
196,10363042,2016-02-12 07:00:00.000000,378.34879972,385,320,415.01869658,56849.66494514,83
197,10363043,2016-02-13 07:00:00.000000,384.31,391.98999996,380.31135223,397.99999998,44799.38904767,83
198,10363044,2016-02-14 07:00:00.000000,391.98999996,404.88887998,390.01050005,406.00000681,29671.13864735,83
199,10363045,2016-02-15 07:00:00.000000,398.00001134,403.8416231,397.59,408.7,40996.12487407,83
200,10363046,2016-02-16 07:00:00.000000,399.00000362,408.00000009,399.00000352,412.79999999,26228.93154111,83
201,10363047,2016-02-17 07:00:00.000000,411.49999999,413.50000048,399.55,426,48770.63843345,83
202,10363048,2016-02-18 07:00:00.000000,413.50000535,418.10000823,411,424.76999998,34912.88661748,83
203,10363049,2016-02-19 07:00:00.000000,420,417.00000354,413.00000001,424.8,14617.06581747,83
204,10363050,2016-02-20 07:00:00.000000,416.001,436.5100001,416.001,440,37972.04766773,83
205,10363051,2016-02-21 07:00:00.000000,436.99999009,441.00000442,420.48999982,445,35817.96966889,83
206,10363052,2016-02-22 07:00:00.000000,441.00000442,440,429.17,441.00000442,23594.55422733,83
207,10363053,2016-02-23 07:00:00.000000,440,416.10000178,413.42,440.00000001,60429.45297098,83
208,10363054,2016-02-24 07:00:00.000000,416.10000178,409.45245,405.99500043,425.09999896,39025.54904354,83
209,10363055,2016-02-25 07:00:00.000000,409.453,422.999999,384.02000001,425.70181751,77657.33776091,83
210,10363056,2016-02-26 07:00:00.000000,420,432.48000001,411.88900001,432.48000001,37088.59457624,83
211,10363057,2016-02-27 07:00:00.000000,429.00000552,425.52,421.00100001,434.99999,18908.51511429,83
212,10363058,2016-02-28 07:00:00.000000,430,432.84999997,380.99999,439.44,71879.58639651,83
213,10363059,2016-02-29 07:00:00.000000,431.55004679,436.1,431.55004679,441.30464888,30212.28504225,83
214,10363060,2016-03-01 07:00:00.000000,440,434.00000001,424.73000001,442.89999999,53433.06313699,83
215,10363061,2016-03-02 07:00:00.000000,432.3700057,425.98623253,422.13646503,438.9999999,35872.40546759,83
216,10363062,2016-03-03 07:00:00.000000,423.50910522,417.24,408.08999991,433.89,81434.40448315,83
217,10363063,2016-03-04 07:00:00.000000,422.499999,408.14999999,393.33,437.4944444,79482.19429671,83
218,10363064,2016-03-05 07:00:00.000000,400.40000001,392,378.88,410,129675.78057729,83
219,10363065,2016-03-06 07:00:00.000000,391.999,407.00000002,378.99,433,119132.11979732,83
220,10363066,2016-03-07 07:00:00.000000,407.00000002,409.9,401.7,420.02688172,62823.92444519,83
221,10363067,2016-03-08 07:00:00.000000,409.90000001,410.40000001,402.83042801,415.60594081,47787.9324513,83
222,10363068,2016-03-09 07:00:00.000000,410.40000001,404.4,401.00000003,415,82827.86906176,83
223,10363069,2016-03-10 07:00:00.000000,404,416.60126,402.25185002,419.9,64807.42080052,83
